OBJECTID,TRACT,SUM_POPULATION,ShapeSTArea,ShapeSTLength
75,48029130600,4595,21899064.1445312,19496.3444031429
76,48029130700,1728,15867970.2988281,19892.2008104915
77,48029130800,4848,90779344.953125,58641.3608091141
78,48029130900,4689,96583423.5664062,49433.2067339244
79,48029131000,5066,59867410.2207031,42004.2417845365
80,48029131100,2438,21592433.7167969,31366.3293574446
81,48029131200,3361,52187859.7851562,38146.6448293058
82,48029131300,5559,57531915.3027344,34362.4068012602
83,48029131401,6632,86000165.5605469,40242.2005429629
84,48029131402,2622,104446318.085938,46604.2547731538
85,48029131503,3146,23497230.3496094,24399.8055587937
86,48029131504,4113,45194101.5234375,28899.5621637762
87,48029131505,3567,15750526.4023438,15909.1211847964
88,48029131506,3470,105472371.353516,47060.4050528282
89,48029131507,6136,23312783.2695312,21901.3078709813
90,48029131601,2518,575571123.716797,179559.042746039
91,48029131606,4895,109366191.009766,52156.9114821969
92,48029131608,4789,52898332.46875,34555.5352757466
93,48029131609,8136,52441139.9960938,33225.6572326388
94,48029131610,5436,19651737.3144531,20978.7184744657
95,48029131611,1197,9869492.01757812,19483.1722027612
96,48029131612,1512,22860121.9824219,23073.225516622
97,48029131613,5262,55129018.3457031,36764.942454948
98,48029131614,3707,28479118.6171875,30214.908050213
99,48029131615,7800,115838394.615234,75145.0963389778
100,48029131700,1241,112340140.378906,51360.5996957528
101,48029131801,2627,1116558277.10938,189932.205120486
102,48029131802,5486,1354576928.56641,150984.446704149
103,48029140100,1645,10620685.7363281,15873.530337722
104,48029140200,3033,20698068.3046875,18780.2143015869
105,48029140300,3358,16881531.2285156,20777.4066731878
106,48029140400,3824,16528821.78125,16408.2373307293
107,48029140500,4042,16487338.2929688,16688.7666620047
108,48029140600,2632,12992097.3769531,17606.1735813806
109,48029140700,4734,19770676.0800781,20923.4231974878
110,48029140800,5028,22889127.109375,22158.026744419
111,48029140900,1948,12803548.5078125,14287.2728336141
112,48029141000,3557,19337757.3945312,19015.0397881819
113,48029141101,4438,37004420.0214844,32934.8813734322
114,48029141102,3973,16492203.4414062,23696.6421681957
115,48029141200,6885,40802157.8671875,31601.7503093793
116,48029141300,5591,81910625.4082031,48244.9880155191
117,48029141402,3622,62548413.9335938,32590.0682394278
118,48029141403,3717,19335526.5566406,19390.7028403472
119,48029141404,4401,28456248.7773438,29788.268484782
120,48029141600,4410,36491273.5839844,27953.2966076159
121,48029141700,5224,554683661.181641,129558.766893131
122,48029141800,4554,846277090.080078,172459.444074719
123,48029141900,5546,1457515844.05859,167943.088526083
124,48029150100,5099,27227235.4628906,20194.020076774
125,48029150300,4702,32665180.7246094,26579.1180371703
