stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
36723,36723,SANTA RITA & RENOVA,,29.320118,-98.472295,,,,,,0
46127,46127,RENOVA & SAN CASIMIRO,,29.318607,-98.472085,,,,,,0
45669,45669,SOCORRO IN FRONT OF 1439,,29.316093,-98.473623,,,,,,0
45629,45629,SOCORRO & ROOSEVELT,,29.316093,-98.475701,,,,,,0
16659,16659,GILLETTE & MOURSUND BLVD.,,29.330305,-98.503561,,,,,,0
96746,96746,MOURSUND BLVD. OPPOSITE DORSEY,,29.334583,-98.503789,,,,,,0
96236,96236,MOURSUND BLVD. OPPOSITE ANSLEY,,29.337083,-98.5038,,,,,,0
86836,86836,PLEASANTON RD. & PETALUMA,,29.339042,-98.503811,,,,,,0
86436,86436,PLEASANTON RD. & SAIPAN,,29.340657,-98.503822,,,,,,0
86136,86136,PLEASANTON RD. & FORMOSA,,29.342435,-98.503832,,,,,,0
76636,76636,PLEASANTON RD. & AMBER,,29.344538,-98.503833,,,,,,0
76336,76336,PLEASANTON RD. & VESTAL,,29.346587,-98.503854,,,,,,0
66736,66736,PLEASANTON RD. & WARE,,29.348861,-98.503845,,,,,,0
66236,66236,PLEASANTON RD. & HARDING,,29.351551,-98.503836,,,,,,0
56836,56836,PLEASANTON RD. & SUSSEX,,29.35304,-98.503857,,,,,,0
56436,56436,PLEASANTON RD. & SHASTA,,29.354719,-98.503837,,,,,,0
46936,46936,PLEASANTON RD. & S.W. MILITARY DR,,29.357435,-98.503858,,,,,,0
46536,46536,PLEASANTON RD. & DICKSON,,29.359159,-98.503828,,,,,,0
46136,46136,PLEASANTON RD. & MAYFIELD,,29.361867,-98.503829,,,,,,0
36236,36236,PLEASANTON RD. & GERALD,,29.36554,-98.503964,,,,,,0
26736,26736,PLEASANTON RD. & GRAPELAND,,29.367615,-98.504067,,,,,,0
26426,26426,PLEASANTON RD. OPPOSITE CANAVAN,,29.369429,-98.50413,,,,,,0
