BLOCKGROUP,trip_id
480291303001,485
480291303002,557
480291303003,557
480291303004,412
480291304011,556
480291304012,509
480291304013,489
480291304014,556
480291304021,489
480291304022,301
480291304023,366
480291305001,591
480291305002,573
480291305003,731
480291305004,707
480291306001,451
480291306002,573
480291306003,471
480291306004,483
480291307001,323
480291307002,323
480291308001,461
480291308002,538
480291308003,538
480291308004,387
480291309001,447
480291309002,352
480291309003,406
480291310001,296
480291310002,296
480291310003,240
480291310004,498
480291311001,225
480291311002,303
480291311003,277
480291312001,360
480291312002,305
480291313001,188
480291313002,271
480291313003,305
480291313004,360
480291314011,73
480291314012,60
480291314021,251
480291314022,188
480291315031,72
480291315032,71
480291315033,123
480291315041,72
480291315042,71
480291315043,219
480291315051,122
480291315052,122
480291315061,96
480291315062,67
480291315071,89
480291315072,89
480291315073,67
480291316061,53
480291316081,53
480291316082,53
480291316091,187
480291316092,154
480291316093,154
480291316101,154
480291316102,122
480291316111,155
480291316131,154
480291316132,122
480291316141,53
480291316151,258
480291316152,122
480291316153,67
480291316154,122
480291318011,9
480291318012,12
480291318021,12
480291318022,9
480291318023,12
480291401001,459
480291401002,685
480291402001,539
480291402002,398
480291402003,474
480291402004,511
480291403001,345
480291403002,308
480291403003,361
480291404001,411
480291404002,295
480291404003,443
480291404004,411
480291405001,435
480291405002,247
480291405003,319
480291405004,435
480291406001,290
480291406002,275
480291407001,350
480291407002,429
480291407003,429
480291407004,350
480291407005,254
480291408001,521
480291408002,430
480291408003,270
480291408004,360
480291408005,556
480291409001,429
480291409002,429
480291410001,462
480291410002,297
480291410003,430
480291411011,727
480291411012,681
480291411013,638
480291411021,351
480291411022,467
480291411023,392
480291412001,294
480291412002,261
480291412003,201
480291412004,201
480291412005,285
480291412006,285
480291413001,166
480291413002,171
480291413003,240
480291414021,370
480291414022,152
480291414031,256
480291414032,361
480291414041,243
480291414042,261
480291414043,261
480291416001,118
480291416002,83
480291417001,111
480291417002,118
480291418001,10
480291418002,9
480291418003,10
480291419001,12
480291419002,22
480291419003,10
480291501001,602
480291501002,459
480291501003,609
480291501004,849
480291503001,477
480291503002,242
480291503003,333
480291503004,368
480291504001,179
480291504002,179
480291504003,351
480291505011,351
480291505012,351
480291505013,150
480291505014,336
480291505021,388
480291505022,105
480291505023,374
480291506001,242
480291506002,294
480291506003,294
480291506004,203
480291507001,336
480291507002,269
480291507003,269
480291507004,241
480291507005,241
480291507006,242
480291508001,360
480291508002,422
480291508003,360
480291509001,440
480291509002,440
480291509003,386
480291509004,440
480291509005,412
480291510001,203
480291510002,374
480291510003,374
480291511001,276
480291511002,531
480291511003,374
480291511004,374
480291511005,560
480291511006,628
480291511007,641
480291512001,138
480291512002,641
480291512003,135
480291512004,132
480291512005,418
480291513011,523
480291513012,53
480291513013,224
480291513014,352
480291513021,119
480291513022,119
480291514001,322
480291514002,322
480291514003,151
480291514004,224
480291515001,388
480291515002,486
480291515003,360
480291516001,277
480291516002,179
480291516003,277
480291516004,98
480291516005,189
480291517001,312
480291517002,189
480291517003,242
480291517004,242
480291517005,242
480291519001,123
480291519002,218
480291520001,230
480291521001,7
480291521002,17
480291521003,3
480291522012,7
480291522013,14
480291601001,569
480291601002,442
480291601003,442
480291601004,666
480291602001,301
480291602002,473
480291602003,473
480291603001,234
480291603002,351
480291603003,406
480291603004,353
480291603005,353
480291604001,55
480291604002,310
480291604003,298
480291604004,367
480291605011,485
480291605012,576
480291605013,579
480291605021,376
480291605022,442
480291605023,175
480291605024,413
480291606001,518
480291606002,479
480291606003,581
480291607011,380
480291607012,491
480291607013,377
480291607021,283
480291607022,286
480291607023,166
480291607024,163
480291609011,468
480291609012,467
480291609013,668
480291609021,364
480291609022,218
480291609023,290
480291610001,468
480291610002,404
480291611001,69
480291611002,114
480291611003,104
480291611004,114
480291611005,66
480291611006,414
480291612001,34
480291612002,69
480291613021,148
480291613022,148
480291613031,148
480291613032,86
480291613041,148
480291613042,148
480291614001,945
480291615011,257
480291615012,257
480291615013,257
480291615014,148
480291615015,319
480291615031,172
480291615032,172
480291615033,148
480291615041,148
480291615042,148
480291616001,124
480291616002,1009
480291618011,186
480291618012,124
480291618021,172
480291618022,124
480291620011,3
480291620031,3
480291620033,3
480291701011,767
480291701012,1098
480291701013,788
480291701021,663
480291701022,942
480291701023,815
480291702001,679
480291702002,394
480291702003,483
480291702004,826
480291702005,795
480291702006,666
480291703001,824
480291703002,824
480291703003,514
480291703004,426
480291703005,598
480291703006,679
480291704011,513
480291704012,684
480291704013,622
480291704014,923
480291704021,684
480291704022,751
480291704023,697
480291704024,525
480291705001,654
480291705002,888
480291705003,914
480291705004,846
480291706001,594
480291706002,592
480291706003,530
480291706004,527
480291707001,624
480291707002,436
480291707003,624
480291708001,636
480291708002,636
480291709001,680
480291709002,763
480291709003,569
480291710001,726
480291710002,396
480291710003,581
480291710004,538
480291710005,442
480291711001,285
480291711002,535
480291712001,545
480291712002,272
480291712003,272
480291713011,226
480291713012,226
480291713021,416
480291713022,240
480291713023,240
480291713024,290
480291714011,239
480291714012,213
480291714021,265
480291714022,239
480291714023,239
480291715011,535
480291715012,228
480291715021,285
480291715022,222
480291715023,285
480291715024,222
480291716011,163
480291716012,318
480291716013,375
480291716021,222
480291716022,193
480291717001,163
480291717002,163
480291717003,306
480291717004,194
480291717005,363
480291717006,431
480291718011,363
480291718012,264
480291718013,225
480291718014,430
480291718021,945
480291718022,945
480291718023,945
480291718024,228
480291718025,945
480291719021,234
480291719022,208
480291719023,452
480291719031,363
480291719032,186
480291719033,187
480291719034,125
480291719035,363
