from_stop_id,to_stop_id,transfer_type,min_transfer_time
59793,59786,,
59787,59786,,
59799,59786,,
32156,32169,,
32257,32169,,
32266,32169,,
32253,32169,,
32256,32169,,
32166,32169,,
32167,32169,,
32179,32169,,
32156,32163,,
32257,32163,,
32266,32163,,
32253,32163,,
32256,32163,,
32166,32163,,
32167,32163,,
32179,32163,,
38693,38696,,
96486,96877,,
85593,85599,,
28383,28389,,
28476,28389,,
28387,28389,,
28389,28383,,
28476,28383,,
28387,28383,,
85599,85593,,
79613,79619,,
79627,79619,,
78653,79619,,
79653,79619,,
79626,79619,,
85279,85273,,
78393,78399,,
21906,78399,,
21907,78399,,
51976,52963,,
51587,52963,,
78399,78393,,
21906,78393,,
21907,78393,,
79619,79613,,
79627,79613,,
78653,79613,,
79653,79613,,
79659,79613,,
78659,79613,,
79626,79613,,
85779,85773,,
85773,85779,,
45229,45219,,
44249,45219,,
44243,45219,,
45316,45219,,
45217,45219,,
44273,45219,,
45213,45219,,
26743,26749,,
74233,74239,,
76729,76757,,
35973,35976,,
35979,35976,,
35889,35976,,
35977,35976,,
45276,35976,,
36823,35976,,
35973,35977,,
35979,35977,,
35889,35977,,
35976,35977,,
36823,35977,,
74239,74233,,
35387,35386,,
82583,82589,,
82897,82589,,
82387,82589,,
82586,82589,,
93436,93226,,
93437,93226,,
77146,93226,,
29763,29769,,
22406,29769,,
22407,29769,,
21113,21239,,
83439,98547,,
98029,98547,,
98016,98547,,
98013,98547,,
98023,98547,,
98033,98547,,
98517,98547,,
98019,98547,,
92999,92993,,
21349,21233,,
21113,21233,,
29769,29763,,
22406,29763,,
22407,29763,,
82589,82583,,
82897,82583,,
82387,82583,,
82586,82583,,
35386,35387,,
26557,26556,,
26559,26556,,
63877,63876,,
63366,63876,,
63567,63876,,
63987,63876,,
11727,11656,,
11726,11656,,
11866,11656,,
11737,11656,,
11717,11656,,
75833,76769,,
76643,76769,,
74799,76769,,
77749,76769,,
76667,76769,,
86683,86856,,
21756,21769,,
21757,21769,,
22387,11419,,
21193,11419,,
21756,21763,,
21757,21763,,
86683,86947,,
11727,11967,,
11726,11967,,
11866,11967,,
11717,11967,,
63876,63877,,
63366,63877,,
26556,26557,,
26336,26557,,
26559,26557,,
26187,26186,,
32259,32456,,
32267,32456,,
26186,26187,,
28696,28763,,
28779,28763,,
28656,28763,,
28136,28763,,
28137,28763,,
29933,28763,,
29939,28763,,
27289,28763,,
29436,28763,,
29327,28763,,
27283,28763,,
28533,28763,,
53366,53367,,
46427,46526,,
53367,53366,,
87673,98379,,
98253,98379,,
99213,98379,,
99629,98379,,
10209,98379,,
10203,98379,,
59416,49516,,
49916,49516,,
49116,49516,,
39716,49516,,
39817,49516,,
48197,49516,,
48897,49516,,
59417,49516,,
48953,49516,,
48993,49516,,
49593,49516,,
49599,49516,,
48969,49516,,
49517,49516,,
49529,49516,,
56137,56136,,
46936,56136,,
46949,56136,,
56143,56136,,
13243,13249,,
13246,13249,,
13247,13249,,
98953,98959,,
21606,98959,,
21607,98959,,
26693,26697,,
98959,98953,,
21606,98953,,
21607,98953,,
13249,13243,,
13246,13243,,
13247,13243,,
86236,86157,,
86237,86157,,
