block_group,B24080_001E,B24080_001E_03,B24080_001E_06,B24080_001E_09,B24080_001E_10,B24080_001E_11,B24080_002E,B24080_003E,B24080_006E,B24080_009E_M,B24080_010E,B24080_011E,B24080_012E,B24080_013E,B24080_016E,B24080_019E_M,B24080_020E,B24080_021E
480291911021,295.0,188.0,25.0,55.0,27.0,0.0,164.0,121.0,8.0,8.0,27.0,0.0,131.0,67.0,17.0,47.0,0.0,0.0
480291911022,350.0,307.0,20.0,23.0,0.0,0.0,217.0,205.0,12.0,0.0,0.0,0.0,133.0,102.0,8.0,23.0,0.0,0.0
480291911023,487.0,352.0,34.0,80.0,21.0,0.0,243.0,199.0,8.0,26.0,10.0,0.0,244.0,153.0,26.0,54.0,11.0,0.0
480291209012,736.0,543.0,73.0,41.0,79.0,0.0,519.0,419.0,30.0,8.0,62.0,0.0,217.0,124.0,43.0,33.0,17.0,0.0
480291209011,390.0,216.0,53.0,61.0,60.0,0.0,219.0,154.0,34.0,7.0,24.0,0.0,171.0,62.0,19.0,54.0,36.0,0.0
480291211122,800.0,635.0,23.0,69.0,63.0,10.0,387.0,314.0,2.0,23.0,38.0,10.0,413.0,321.0,21.0,46.0,25.0,0.0
480291519001,685.0,641.0,0.0,38.0,6.0,0.0,377.0,355.0,0.0,16.0,6.0,0.0,308.0,286.0,0.0,22.0,0.0,0.0
480291409002,489.0,409.0,6.0,74.0,0.0,0.0,289.0,219.0,0.0,70.0,0.0,0.0,200.0,190.0,6.0,4.0,0.0,0.0
480291417001,1323.0,982.0,104.0,203.0,34.0,0.0,638.0,499.0,24.0,81.0,34.0,0.0,685.0,483.0,80.0,122.0,0.0,0.0
480291417002,1336.0,1042.0,26.0,205.0,63.0,0.0,775.0,579.0,15.0,128.0,53.0,0.0,561.0,463.0,11.0,77.0,10.0,0.0
480291505012,459.0,372.0,19.0,14.0,54.0,0.0,253.0,187.0,19.0,7.0,40.0,0.0,206.0,185.0,0.0,7.0,14.0,0.0
480291505014,582.0,470.0,28.0,0.0,84.0,0.0,313.0,240.0,7.0,0.0,66.0,0.0,269.0,230.0,21.0,0.0,18.0,0.0
480291604002,742.0,608.0,47.0,74.0,13.0,0.0,449.0,400.0,9.0,27.0,13.0,0.0,293.0,208.0,38.0,47.0,0.0,0.0
480291604004,318.0,183.0,47.0,61.0,27.0,0.0,165.0,105.0,7.0,53.0,0.0,0.0,153.0,78.0,40.0,8.0,27.0,0.0
480291604001,533.0,426.0,82.0,17.0,0.0,8.0,271.0,219.0,52.0,0.0,0.0,0.0,262.0,207.0,30.0,17.0,0.0,8.0
480291604003,428.0,348.0,54.0,18.0,8.0,0.0,225.0,217.0,0.0,0.0,8.0,0.0,203.0,131.0,54.0,18.0,0.0,0.0
480291611005,717.0,512.0,1.0,204.0,0.0,0.0,475.0,373.0,0.0,102.0,0.0,0.0,242.0,139.0,1.0,102.0,0.0,0.0
480291611006,204.0,204.0,0.0,0.0,0.0,0.0,118.0,118.0,0.0,0.0,0.0,0.0,86.0,86.0,0.0,0.0,0.0,0.0
480291611001,1489.0,1217.0,151.0,29.0,92.0,0.0,819.0,766.0,11.0,3.0,39.0,0.0,670.0,451.0,140.0,26.0,53.0,0.0
480291611004,916.0,750.0,0.0,111.0,55.0,0.0,558.0,476.0,0.0,46.0,36.0,0.0,358.0,274.0,0.0,65.0,19.0,0.0
480291611003,530.0,516.0,14.0,0.0,0.0,0.0,399.0,399.0,0.0,0.0,0.0,0.0,131.0,117.0,14.0,0.0,0.0,0.0
480291611002,375.0,243.0,39.0,93.0,0.0,0.0,148.0,125.0,0.0,23.0,0.0,0.0,227.0,118.0,39.0,70.0,0.0,0.0
480291813012,877.0,682.0,114.0,70.0,11.0,0.0,475.0,337.0,84.0,43.0,11.0,0.0,402.0,345.0,30.0,27.0,0.0,0.0
480291813011,1801.0,1168.0,160.0,399.0,74.0,0.0,695.0,422.0,122.0,151.0,0.0,0.0,1106.0,746.0,38.0,248.0,74.0,0.0
480291814021,427.0,323.0,33.0,35.0,36.0,0.0,155.0,94.0,13.0,24.0,24.0,0.0,272.0,229.0,20.0,11.0,12.0,0.0
480291814022,720.0,501.0,52.0,167.0,0.0,0.0,318.0,254.0,27.0,37.0,0.0,0.0,402.0,247.0,25.0,130.0,0.0,0.0
