block_group,B08134_001E,B08134_003E_M,B08134_006E_M,B08134_009E_M,B08134_010E,B08134_011E,B08134_013E_M,B08134_016E_M,B08134_019E_M,B08134_020E,B08134_071E,B08134_073E_M,B08134_076E_M,B08134_079E_M,B08134_080E
480291704023,535.0,67.0,253.0,174.0,41.0,452.0,67.0,253.0,132.0,0.0,83.0,0.0,0.0,42.0,41.0
480291706002,588.0,86.0,167.0,292.0,43.0,473.0,86.0,153.0,205.0,29.0,86.0,0.0,6.0,80.0,0.0
480291707001,565.0,177.0,229.0,97.0,62.0,544.0,166.0,219.0,97.0,62.0,21.0,11.0,10.0,0.0,0.0
480291212041,736.0,141.0,385.0,198.0,12.0,661.0,141.0,385.0,135.0,0.0,75.0,0.0,0.0,63.0,12.0
480291212045,1188.0,276.0,509.0,224.0,179.0,1057.0,261.0,477.0,140.0,179.0,84.0,0.0,0.0,84.0,0.0
480291416001,1208.0,308.0,471.0,405.0,24.0,1195.0,308.0,458.0,405.0,24.0,0.0,0.0,0.0,0.0,0.0
480291215051,1316.0,171.0,523.0,497.0,125.0,1239.0,171.0,523.0,428.0,117.0,67.0,0.0,0.0,59.0,8.0
480291403001,389.0,69.0,152.0,102.0,66.0,346.0,69.0,127.0,84.0,66.0,25.0,0.0,25.0,0.0,0.0
480291701013,497.0,56.0,288.0,153.0,0.0,459.0,43.0,263.0,153.0,0.0,38.0,13.0,25.0,0.0,0.0
480291718021,384.0,0.0,227.0,157.0,0.0,358.0,0.0,227.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0
480291718024,370.0,69.0,85.0,216.0,0.0,370.0,69.0,85.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
480291507005,493.0,0.0,200.0,293.0,0.0,493.0,0.0,200.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0
480291507002,486.0,116.0,194.0,176.0,0.0,398.0,116.0,106.0,176.0,0.0,47.0,0.0,47.0,0.0,0.0
480291507004,544.0,194.0,306.0,44.0,0.0,544.0,194.0,306.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
480291601002,744.0,239.0,340.0,135.0,30.0,688.0,198.0,340.0,135.0,15.0,15.0,0.0,0.0,0.0,15.0
480291813021,1387.0,493.0,647.0,177.0,70.0,1188.0,441.0,570.0,177.0,0.0,86.0,0.0,77.0,0.0,9.0
480291815063,1036.0,253.0,278.0,296.0,209.0,833.0,220.0,245.0,225.0,143.0,108.0,0.0,0.0,42.0,66.0
480291809024,822.0,243.0,443.0,136.0,0.0,822.0,243.0,443.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0
480291810032,534.0,96.0,279.0,159.0,0.0,534.0,96.0,279.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0
480291810053,938.0,241.0,413.0,244.0,40.0,783.0,199.0,341.0,203.0,40.0,41.0,0.0,0.0,41.0,0.0
480291817152,709.0,43.0,337.0,317.0,12.0,709.0,43.0,337.0,317.0,12.0,0.0,0.0,0.0,0.0,0.0
480291203001,940.0,181.0,669.0,70.0,20.0,896.0,153.0,653.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0
480291205011,285.0,0.0,148.0,125.0,12.0,285.0,0.0,148.0,125.0,12.0,0.0,0.0,0.0,0.0,0.0
480291205016,493.0,160.0,183.0,150.0,0.0,402.0,135.0,128.0,139.0,0.0,11.0,0.0,0.0,11.0,0.0
480291205017,729.0,249.0,269.0,52.0,159.0,590.0,209.0,236.0,52.0,93.0,66.0,0.0,0.0,0.0,66.0
480291211151,681.0,179.0,255.0,177.0,70.0,597.0,179.0,241.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0
480291211173,730.0,243.0,278.0,188.0,21.0,702.0,243.0,262.0,176.0,21.0,28.0,0.0,16.0,12.0,0.0
480291815031,1702.0,347.0,888.0,351.0,116.0,1593.0,326.0,888.0,329.0,50.0,22.0,0.0,0.0,22.0,0.0
480291215082,1072.0,134.0,460.0,298.0,180.0,893.0,134.0,460.0,243.0,56.0,179.0,0.0,0.0,55.0,124.0
480291914054,464.0,99.0,269.0,84.0,12.0,464.0,99.0,269.0,84.0,12.0,0.0,0.0,0.0,0.0,0.0
480291709002,589.0,174.0,255.0,130.0,30.0,563.0,166.0,237.0,130.0,30.0,18.0,0.0,18.0,0.0,0.0
480291615012,216.0,79.0,40.0,97.0,0.0,209.0,72.0,40.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
480291615014,498.0,100.0,204.0,157.0,37.0,386.0,28.0,164.0,157.0,37.0,0.0,0.0,0.0,0.0,0.0
480291701023,590.0,74.0,289.0,145.0,82.0,484.0,41.0,275.0,137.0,31.0,54.0,33.0,0.0,8.0,13.0
480291711002,662.0,103.0,285.0,263.0,11.0,636.0,77.0,285.0,263.0,11.0,0.0,0.0,0.0,0.0,0.0
480291807024,294.0,52.0,210.0,12.0,20.0,274.0,52.0,210.0,12.0,0.0,20.0,0.0,0.0,0.0,20.0
480291807021,756.0,62.0,598.0,56.0,40.0,718.0,62.0,560.0,56.0,40.0,0.0,0.0,0.0,0.0,0.0
480291809013,574.0,90.0,206.0,252.0,26.0,498.0,90.0,173.0,227.0,8.0,9.0,0.0,0.0,0.0,9.0
480291108003,260.0,68.0,151.0,41.0,0.0,239.0,63.0,147.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
480291211163,764.0,131.0,349.0,201.0,83.0,764.0,131.0,349.0,201.0,83.0,0.0,0.0,0.0,0.0,0.0
480291212034,600.0,113.0,301.0,174.0,12.0,571.0,84.0,301.0,174.0,12.0,0.0,0.0,0.0,0.0,0.0
480291212033,517.0,62.0,269.0,160.0,26.0,480.0,62.0,258.0,160.0,0.0,26.0,0.0,0.0,0.0,26.0
480291817181,1101.0,288.0,230.0,536.0,47.0,1057.0,274.0,217.0,519.0,47.0,30.0,0.0,13.0,17.0,0.0
480291902005,617.0,417.0,121.0,79.0,0.0,589.0,400.0,110.0,79.0,0.0,11.0,0.0,11.0,0.0,0.0
480291902002,274.0,62.0,172.0,40.0,0.0,253.0,48.0,172.0,33.0,0.0,7.0,0.0,0.0,7.0,0.0
480291802024,219.0,8.0,189.0,22.0,0.0,219.0,8.0,189.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
480291802022,520.0,113.0,224.0,144.0,39.0,477.0,113.0,224.0,101.0,39.0,43.0,0.0,0.0,43.0,0.0
480291805014,180.0,75.0,33.0,55.0,17.0,105.0,22.0,33.0,50.0,0.0,17.0,0.0,0.0,0.0,17.0
480291808003,203.0,95.0,54.0,54.0,0.0,188.0,80.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
480291708001,215.0,44.0,118.0,48.0,5.0,205.0,39.0,118.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
480291106001,387.0,30.0,137.0,203.0,17.0,304.0,0.0,137.0,150.0,17.0,63.0,30.0,0.0,33.0,0.0
480291510002,479.0,54.0,271.0,112.0,42.0,462.0,54.0,263.0,112.0,33.0,17.0,0.0,8.0,0.0,9.0
480291510003,628.0,164.0,213.0,231.0,20.0,597.0,142.0,213.0,222.0,20.0,22.0,22.0,0.0,0.0,0.0
480291607021,451.0,21.0,238.0,175.0,17.0,451.0,21.0,238.0,175.0,17.0,0.0,0.0,0.0,0.0,0.0
480291607022,556.0,201.0,263.0,67.0,25.0,509.0,199.0,261.0,49.0,0.0,43.0,0.0,0.0,18.0,25.0
480291215083,505.0,88.0,135.0,262.0,20.0,505.0,88.0,135.0,262.0,20.0,0.0,0.0,0.0,0.0,0.0
480291216011,779.0,283.0,284.0,196.0,16.0,761.0,283.0,284.0,178.0,16.0,18.0,0.0,0.0,18.0,0.0
480291218022,1293.0,320.0,731.0,220.0,22.0,1259.0,320.0,697.0,220.0,22.0,0.0,0.0,0.0,0.0,0.0
480291303004,383.0,95.0,118.0,163.0,7.0,317.0,80.0,118.0,112.0,7.0,51.0,0.0,0.0,51.0,0.0
480291303003,271.0,72.0,81.0,118.0,0.0,200.0,45.0,81.0,74.0,0.0,71.0,27.0,0.0,44.0,0.0
480291909014,288.0,63.0,173.0,0.0,52.0,236.0,63.0,173.0,0.0,0.0,52.0,0.0,0.0,0.0,52.0
480291809011,465.0,28.0,291.0,146.0,0.0,449.0,28.0,275.0,146.0,0.0,16.0,0.0,16.0,0.0,0.0
480291815043,224.0,31.0,193.0,0.0,0.0,224.0,31.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480291816011,500.0,14.0,260.0,209.0,17.0,439.0,14.0,199.0,209.0,17.0,61.0,0.0,61.0,0.0,0.0
480291818093,803.0,90.0,499.0,187.0,27.0,707.0,80.0,499.0,128.0,0.0,27.0,0.0,0.0,0.0,27.0
480291821011,1916.0,278.0,884.0,672.0,82.0,1904.0,266.0,884.0,672.0,82.0,0.0,0.0,0.0,0.0,0.0
480291906012,541.0,71.0,321.0,149.0,0.0,515.0,71.0,295.0,149.0,0.0,2.0,0.0,2.0,0.0,0.0
480291910042,869.0,224.0,369.0,248.0,28.0,800.0,214.0,318.0,240.0,28.0,69.0,10.0,51.0,8.0,0.0
480291212052,516.0,194.0,238.0,73.0,11.0,406.0,176.0,199.0,20.0,11.0,81.0,18.0,10.0,53.0,0.0
480291212064,372.0,67.0,169.0,72.0,64.0,349.0,67.0,169.0,49.0,64.0,0.0,0.0,0.0,0.0,0.0
480291212066,543.0,2.0,433.0,108.0,0.0,528.0,2.0,433.0,93.0,0.0,15.0,0.0,0.0,15.0,0.0
480291602001,381.0,50.0,220.0,103.0,8.0,356.0,50.0,207.0,91.0,8.0,12.0,0.0,0.0,12.0,0.0
480291817131,1162.0,57.0,562.0,452.0,91.0,1109.0,57.0,509.0,452.0,91.0,53.0,0.0,53.0,0.0,0.0
480291815052,681.0,156.0,386.0,139.0,0.0,681.0,156.0,386.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0
480291817041,707.0,82.0,287.0,293.0,45.0,640.0,71.0,287.0,282.0,0.0,38.0,1.0,0.0,11.0,26.0
480291817043,979.0,93.0,561.0,234.0,91.0,907.0,83.0,561.0,199.0,64.0,27.0,0.0,0.0,0.0,27.0
480291907001,555.0,232.0,242.0,73.0,8.0,547.0,232.0,242.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
480291812003,497.0,59.0,248.0,190.0,0.0,452.0,14.0,248.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0
480291511006,75.0,28.0,0.0,37.0,10.0,48.0,28.0,0.0,20.0,0.0,27.0,0.0,0.0,17.0,10.0
480291514003,555.0,121.0,146.0,261.0,27.0,458.0,121.0,122.0,215.0,0.0,27.0,0.0,0.0,0.0,27.0
480291909022,803.0,182.0,534.0,67.0,20.0,772.0,182.0,516.0,67.0,7.0,13.0,0.0,0.0,0.0,13.0
480291810011,738.0,198.0,283.0,248.0,9.0,623.0,157.0,283.0,174.0,9.0,77.0,18.0,0.0,59.0,0.0
480291821031,1320.0,198.0,290.0,656.0,176.0,1304.0,198.0,290.0,656.0,160.0,0.0,0.0,0.0,0.0,0.0
480291901001,371.0,82.0,138.0,151.0,0.0,331.0,75.0,127.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
480291817033,1415.0,104.0,459.0,604.0,248.0,1415.0,104.0,459.0,604.0,248.0,0.0,0.0,0.0,0.0,0.0
480291803004,416.0,37.0,221.0,130.0,28.0,377.0,30.0,221.0,105.0,21.0,21.0,0.0,0.0,14.0,7.0
480291313003,636.0,154.0,290.0,153.0,39.0,623.0,154.0,290.0,153.0,26.0,13.0,0.0,0.0,0.0,13.0
480291313002,673.0,241.0,227.0,173.0,32.0,673.0,241.0,227.0,173.0,32.0,0.0,0.0,0.0,0.0,0.0
480291103001,613.0,146.0,307.0,125.0,35.0,577.0,146.0,286.0,110.0,35.0,15.0,0.0,0.0,15.0,0.0
480291206007,294.0,140.0,76.0,78.0,0.0,245.0,107.0,76.0,62.0,0.0,16.0,0.0,0.0,16.0,0.0
480291206004,776.0,342.0,370.0,64.0,0.0,743.0,309.0,370.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
480291206001,698.0,389.0,237.0,72.0,0.0,669.0,389.0,208.0,72.0,0.0,15.0,0.0,15.0,0.0,0.0
480291517005,538.0,122.0,273.0,143.0,0.0,457.0,41.0,273.0,143.0,0.0,60.0,60.0,0.0,0.0,0.0
