block_group,C17002_001E,C17002_002E,C17002_003E,C17002_005E_M,C17002_007E_M,C17002_008E
480291810052,552.0,10.0,151.0,94.0,78.0,219.0
480291815061,506.0,0.0,11.0,13.0,64.0,418.0
480291815062,1507.0,64.0,41.0,2.0,169.0,1231.0
480291817151,1078.0,88.0,0.0,0.0,202.0,788.0
480291203002,569.0,32.0,56.0,0.0,49.0,432.0
480291203003,1377.0,43.0,23.0,97.0,4.0,1210.0
480291203005,1085.0,27.0,37.0,0.0,32.0,989.0
480291205013,1414.0,62.0,437.0,186.0,192.0,537.0
480291205015,1365.0,154.0,43.0,113.0,368.0,687.0
480291205012,1500.0,232.0,307.0,264.0,184.0,513.0
480291205014,1577.0,294.0,53.0,232.0,121.0,877.0
480291211152,2646.0,43.0,213.0,25.0,42.0,2323.0
480291211153,1488.0,1.0,67.0,24.0,32.0,1364.0
480291211172,1257.0,0.0,82.0,134.0,69.0,972.0
480291211171,1760.0,45.0,0.0,259.0,128.0,1328.0
480291720021,5361.0,52.0,54.0,289.0,592.0,4374.0
480291817031,3099.0,134.0,520.0,72.0,228.0,2145.0
480291817032,2172.0,153.0,135.0,172.0,64.0,1648.0
480291803003,1572.0,174.0,317.0,256.0,518.0,307.0
480291803001,1052.0,68.0,101.0,245.0,109.0,529.0
480291803002,1436.0,100.0,127.0,293.0,160.0,756.0
480291817161,3273.0,0.0,313.0,473.0,543.0,1944.0
480291910034,921.0,49.0,3.0,260.0,110.0,499.0
480291910035,822.0,0.0,164.0,218.0,0.0,440.0
480291910033,1242.0,132.0,113.0,271.0,14.0,712.0
480291910031,1503.0,102.0,638.0,442.0,39.0,282.0
480291910032,4336.0,488.0,1126.0,792.0,166.0,1764.0
480291214041,1910.0,221.0,96.0,339.0,127.0,1127.0
480291214042,1762.0,475.0,388.0,405.0,75.0,419.0
480291214043,1678.0,192.0,419.0,365.0,105.0,597.0
480291313001,1499.0,0.0,151.0,712.0,397.0,239.0
480291313004,754.0,0.0,57.0,72.0,10.0,615.0
480291316061,2705.0,24.0,64.0,335.0,400.0,1882.0
480291103003,371.0,25.0,61.0,27.0,26.0,232.0
480291103002,1070.0,34.0,59.0,35.0,543.0,399.0
480291201001,3932.0,147.0,92.0,619.0,365.0,2709.0
480291206002,916.0,173.0,120.0,38.0,171.0,414.0
480291206003,669.0,62.0,92.0,0.0,39.0,476.0
480291206006,459.0,127.0,0.0,0.0,0.0,332.0
480291206005,956.0,198.0,3.0,9.0,0.0,746.0
480291517003,1533.0,46.0,516.0,6.0,7.0,958.0
480291517002,1594.0,173.0,172.0,152.0,133.0,964.0
480291517001,2048.0,53.0,5.0,333.0,517.0,1140.0
480291607013,945.0,44.0,91.0,69.0,82.0,659.0
480291306001,877.0,176.0,371.0,201.0,62.0,67.0
480291306003,980.0,236.0,210.0,181.0,139.0,214.0
480291306002,859.0,130.0,122.0,132.0,100.0,375.0
480291402003,670.0,30.0,45.0,140.0,45.0,410.0
480291402002,729.0,35.0,66.0,91.0,220.0,317.0
480291402001,618.0,51.0,74.0,162.0,35.0,296.0
480291402004,816.0,11.0,17.0,33.0,0.0,755.0
480291309001,2490.0,324.0,652.0,503.0,266.0,745.0
480291717004,2449.0,19.0,206.0,372.0,520.0,1332.0
480291719035,1692.0,0.0,59.0,42.0,73.0,1518.0
480291717006,1356.0,248.0,193.0,481.0,1.0,433.0
480291719032,791.0,27.0,249.0,50.0,232.0,233.0
480291719034,1109.0,73.0,0.0,121.0,624.0,291.0
480291509002,771.0,134.0,0.0,165.0,75.0,397.0
480291509001,1520.0,8.0,191.0,301.0,204.0,816.0
480291509005,1767.0,82.0,66.0,490.0,600.0,529.0
480291705003,1099.0,258.0,392.0,84.0,42.0,323.0
480291705004,1055.0,144.0,426.0,60.0,129.0,296.0
480291705002,1267.0,35.0,28.0,198.0,333.0,673.0
480291805042,3017.0,504.0,655.0,225.0,576.0,1057.0
480291205025,1036.0,309.0,258.0,69.0,149.0,251.0
480291205023,419.0,18.0,218.0,72.0,44.0,67.0
480291205026,991.0,12.0,0.0,405.0,237.0,337.0
480291205024,875.0,190.0,65.0,197.0,116.0,307.0
480291207012,1380.0,43.0,170.0,237.0,81.0,849.0
480291207011,1014.0,61.0,44.0,43.0,340.0,526.0
480291302002,700.0,111.0,58.0,244.0,37.0,250.0
480291410003,1694.0,82.0,549.0,172.0,431.0,460.0
480291410002,1264.0,183.0,349.0,121.0,341.0,270.0
480291516001,2161.0,45.0,545.0,184.0,211.0,1176.0
480291516004,1546.0,57.0,230.0,230.0,351.0,678.0
480291516002,918.0,15.0,61.0,224.0,106.0,512.0
480291817051,1885.0,12.0,204.0,45.0,258.0,1366.0
480291817052,1706.0,90.0,0.0,247.0,196.0,1173.0
480291512002,2736.0,95.0,728.0,443.0,340.0,1130.0
480291606001,1301.0,85.0,380.0,107.0,179.0,550.0
480291606003,2425.0,474.0,867.0,250.0,609.0,225.0
480291419003,1407.0,11.0,24.0,192.0,324.0,856.0
480291419002,1662.0,28.0,50.0,121.0,67.0,1396.0
480291515003,1134.0,42.0,74.0,342.0,93.0,583.0
480291515002,974.0,16.0,171.0,139.0,154.0,494.0
480291603003,666.0,91.0,55.0,91.0,233.0,196.0
480291603002,1044.0,31.0,172.0,130.0,226.0,485.0
480291603005,1495.0,263.0,129.0,330.0,100.0,673.0
480291612001,730.0,46.0,48.0,63.0,131.0,442.0
480291612002,2172.0,343.0,328.0,217.0,457.0,827.0
