block_group,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_006E,B03002_002E_O,B03002_012E
480291409002,1052.0,81.0,81.0,0.0,0.0,0.0,971.0
480291417001,2815.0,630.0,589.0,13.0,0.0,28.0,2185.0
480291417002,2982.0,756.0,578.0,175.0,0.0,3.0,2226.0
480291505012,1350.0,0.0,0.0,0.0,0.0,0.0,1350.0
480291505014,1113.0,13.0,13.0,0.0,0.0,0.0,1100.0
480291604002,1922.0,169.0,86.0,83.0,0.0,0.0,1753.0
480291604004,750.0,51.0,32.0,0.0,0.0,19.0,699.0
480291604001,1052.0,43.0,40.0,2.0,0.0,1.0,1009.0
480291604003,1162.0,32.0,32.0,0.0,0.0,0.0,1130.0
480291611005,1688.0,80.0,4.0,76.0,0.0,0.0,1608.0
480291611006,455.0,0.0,0.0,0.0,0.0,0.0,455.0
480291611001,3154.0,177.0,148.0,29.0,0.0,0.0,2977.0
480291611004,1497.0,55.0,34.0,0.0,0.0,21.0,1442.0
480291611003,1095.0,108.0,102.0,0.0,0.0,6.0,987.0
480291611002,851.0,0.0,0.0,0.0,0.0,0.0,851.0
480291813012,1509.0,788.0,559.0,85.0,123.0,21.0,721.0
480291813011,3152.0,1260.0,654.0,391.0,169.0,46.0,1892.0
480291814021,1096.0,661.0,484.0,83.0,73.0,21.0,435.0
480291814022,1619.0,936.0,488.0,204.0,229.0,15.0,683.0
480291109001,1498.0,881.0,795.0,54.0,17.0,15.0,617.0
480291110003,1124.0,418.0,328.0,23.0,48.0,19.0,706.0
480291110002,729.0,220.0,109.0,26.0,13.0,72.0,509.0
480291204001,1212.0,925.0,874.0,51.0,0.0,0.0,287.0
480291204005,1165.0,969.0,940.0,0.0,18.0,11.0,196.0
480291710004,1845.0,8.0,8.0,0.0,0.0,0.0,1837.0
480291204003,1085.0,907.0,877.0,0.0,0.0,30.0,178.0
480291207021,2630.0,1739.0,1524.0,86.0,129.0,0.0,891.0
480291704014,794.0,93.0,43.0,50.0,0.0,0.0,701.0
480291710001,973.0,0.0,0.0,0.0,0.0,0.0,973.0
480291710002,892.0,0.0,0.0,0.0,0.0,0.0,892.0
480291717001,2257.0,534.0,324.0,210.0,0.0,0.0,1723.0
480291717003,897.0,328.0,36.0,113.0,75.0,104.0,569.0
480291215013,3011.0,1921.0,1299.0,455.0,83.0,84.0,1090.0
480291215011,2062.0,1552.0,1053.0,89.0,117.0,293.0,510.0
480291215074,1353.0,845.0,460.0,350.0,0.0,35.0,508.0
