block_group,B08303_001E,B08303_004E_M,B08303_007E_M,B08303_011E_M,B08303_013E_M
480291205013,657.0,203.0,277.0,177.0,0.0
480291205015,558.0,144.0,254.0,150.0,10.0
480291205012,679.0,383.0,267.0,29.0,0.0
480291205014,646.0,111.0,432.0,103.0,0.0
480291211152,1379.0,260.0,760.0,304.0,55.0
480291211153,845.0,161.0,397.0,248.0,39.0
480291211172,715.0,196.0,374.0,145.0,0.0
480291211171,884.0,198.0,533.0,153.0,0.0
480291720021,1892.0,331.0,496.0,767.0,298.0
480291817031,1526.0,128.0,890.0,438.0,70.0
480291817032,1218.0,372.0,252.0,580.0,14.0
480291803003,403.0,53.0,166.0,139.0,45.0
480291803001,469.0,157.0,156.0,131.0,25.0
480291803002,605.0,117.0,165.0,280.0,43.0
480291817161,1909.0,344.0,1022.0,421.0,122.0
480291910034,391.0,62.0,249.0,80.0,0.0
480291910035,372.0,15.0,237.0,120.0,0.0
480291910033,258.0,61.0,116.0,81.0,0.0
480291910031,279.0,24.0,201.0,54.0,0.0
480291910032,1813.0,406.0,1125.0,199.0,83.0
480291214041,935.0,274.0,374.0,240.0,47.0
480291214042,653.0,122.0,436.0,63.0,32.0
480291214043,467.0,49.0,282.0,85.0,51.0
480291313001,330.0,6.0,195.0,110.0,19.0
480291313004,257.0,14.0,166.0,77.0,0.0
480291316061,866.0,126.0,376.0,315.0,49.0
480291103003,167.0,37.0,65.0,32.0,33.0
480291103002,505.0,175.0,256.0,45.0,29.0
480291201001,2179.0,1490.0,562.0,101.0,26.0
480291206002,443.0,13.0,348.0,47.0,35.0
480291206003,492.0,144.0,283.0,55.0,10.0
480291206006,199.0,56.0,143.0,0.0,0.0
480291206005,424.0,188.0,156.0,80.0,0.0
480291517003,755.0,224.0,144.0,363.0,24.0
480291517002,731.0,155.0,299.0,270.0,7.0
480291517001,941.0,378.0,228.0,249.0,86.0
480291607013,425.0,103.0,143.0,135.0,44.0
480291306001,245.0,104.0,30.0,57.0,54.0
480291306003,466.0,91.0,124.0,114.0,137.0
480291306002,217.0,40.0,122.0,47.0,8.0
