block_group,B19001_001E,B19001_002E,B19001_005E_M,B19001_010E_M,B19001_013E_M,B19001_016E_M,B19001_017E
480291810051,882.0,145.0,274.0,205.0,186.0,64.0,8.0
480291810052,277.0,15.0,128.0,67.0,67.0,0.0,0.0
480291815061,212.0,0.0,6.0,55.0,120.0,13.0,18.0
480291815062,494.0,35.0,0.0,106.0,286.0,53.0,14.0
480291817151,344.0,36.0,0.0,96.0,120.0,92.0,0.0
480291203002,269.0,0.0,28.0,39.0,80.0,71.0,51.0
480291203003,574.0,38.0,38.0,68.0,97.0,181.0,152.0
480291203005,324.0,10.0,37.0,16.0,55.0,90.0,116.0
480291205013,498.0,55.0,66.0,229.0,46.0,74.0,28.0
480291205015,385.0,16.0,44.0,97.0,149.0,79.0,0.0
480291205012,650.0,73.0,138.0,257.0,96.0,40.0,46.0
480291205014,619.0,175.0,44.0,164.0,170.0,66.0,0.0
480291211152,950.0,21.0,154.0,63.0,363.0,292.0,57.0
480291211153,687.0,0.0,64.0,92.0,176.0,271.0,84.0
480291211172,457.0,49.0,27.0,65.0,144.0,137.0,35.0
480291211171,787.0,7.0,76.0,147.0,312.0,228.0,17.0
480291720021,1716.0,13.0,116.0,382.0,704.0,452.0,49.0
480291817031,1173.0,119.0,203.0,198.0,369.0,243.0,41.0
480291817032,736.0,14.0,201.0,49.0,223.0,236.0,13.0
480291803003,404.0,39.0,58.0,158.0,116.0,33.0,0.0
480291803001,323.0,32.0,68.0,89.0,90.0,44.0,0.0
480291803002,468.0,60.0,84.0,111.0,111.0,81.0,21.0
480291817161,866.0,0.0,70.0,399.0,272.0,125.0,0.0
480291910034,340.0,47.0,27.0,112.0,87.0,67.0,0.0
480291910035,259.0,14.0,82.0,77.0,60.0,26.0,0.0
480291910033,376.0,14.0,180.0,14.0,168.0,0.0,0.0
480291910031,314.0,42.0,70.0,76.0,126.0,0.0,0.0
480291910032,1627.0,218.0,267.0,553.0,483.0,106.0,0.0
480291214041,551.0,31.0,99.0,199.0,165.0,57.0,0.0
480291214042,847.0,361.0,253.0,131.0,96.0,6.0,0.0
480291214043,494.0,50.0,128.0,254.0,7.0,55.0,0.0
480291313001,507.0,35.0,98.0,233.0,122.0,19.0,0.0
480291313004,346.0,38.0,101.0,69.0,138.0,0.0,0.0
480291316061,852.0,6.0,134.0,158.0,358.0,178.0,18.0
480291103003,200.0,25.0,63.0,42.0,49.0,11.0,10.0
480291103002,402.0,15.0,88.0,138.0,125.0,16.0,20.0
480291201001,921.0,19.0,25.0,204.0,476.0,180.0,17.0
480291206002,391.0,47.0,65.0,107.0,172.0,0.0,0.0
480291206003,390.0,16.0,55.0,168.0,63.0,55.0,33.0
480291206006,227.0,37.0,0.0,28.0,94.0,12.0,56.0
480291206005,323.0,0.0,9.0,39.0,76.0,132.0,67.0
480291517003,368.0,25.0,58.0,101.0,104.0,80.0,0.0
480291517002,504.0,45.0,119.0,111.0,141.0,88.0,0.0
480291517001,519.0,34.0,63.0,159.0,199.0,64.0,0.0
480291607013,271.0,19.0,61.0,72.0,107.0,12.0,0.0
480291306001,300.0,62.0,111.0,116.0,11.0,0.0,0.0
480291306003,301.0,49.0,134.0,66.0,52.0,0.0,0.0
480291306002,308.0,69.0,94.0,74.0,55.0,16.0,0.0
480291402003,225.0,30.0,64.0,79.0,26.0,26.0,0.0
480291402002,245.0,30.0,32.0,82.0,65.0,36.0,0.0
480291402001,247.0,19.0,67.0,95.0,41.0,25.0,0.0
480291402004,190.0,11.0,33.0,69.0,62.0,0.0,15.0
480291309001,726.0,77.0,279.0,209.0,143.0,12.0,6.0
480291717004,632.0,19.0,147.0,192.0,133.0,141.0,0.0
480291719035,379.0,0.0,84.0,36.0,175.0,84.0,0.0
480291717006,419.0,62.0,136.0,133.0,88.0,0.0,0.0
480291719032,343.0,79.0,35.0,123.0,51.0,55.0,0.0
480291719034,317.0,59.0,36.0,122.0,63.0,37.0,0.0
480291509002,239.0,16.0,42.0,93.0,58.0,30.0,0.0
480291509001,393.0,8.0,30.0,166.0,135.0,43.0,11.0
480291509005,486.0,20.0,93.0,235.0,107.0,31.0,0.0
480291705003,364.0,109.0,120.0,61.0,61.0,13.0,0.0
480291705004,256.0,11.0,40.0,107.0,98.0,0.0,0.0
480291705002,419.0,27.0,47.0,162.0,123.0,50.0,10.0
