block_group,B19051_000E,B19051_001E_R,B19051_002E,B19051_003E,B19052_001E_R,B19052_002E,B19052_003E,B19055_001E_R,B19055_002E,B19055_003E,B19056_001E_R,B19056_002E,B19056_003E,B19057_001E_R,B19057_002E,B19057_003E,B19058_001E_R,B19058_002E,B19058_003E,B19059_001E_R,B19059_002E,B19059_003E
480291914053,587.0,0.8637137989778535,507.0,80.0,0.7819420783645656,459.0,128.0,0.4787052810902896,281.0,306.0,0.02555366269165247,15.0,572.0,0.0,0.0,587.0,0.0868824531516184,51.0,536.0,0.22998296422487224,135.0,452.0
480291914055,423.0,0.6761229314420804,286.0,137.0,0.640661938534279,271.0,152.0,0.41134751773049644,174.0,249.0,0.037825059101654845,16.0,407.0,0.0,0.0,423.0,0.0,0.0,423.0,0.4657210401891253,197.0,226.0
480291709001,453.0,0.7218543046357616,327.0,126.0,0.7218543046357616,327.0,126.0,0.17218543046357615,78.0,375.0,0.13024282560706402,59.0,394.0,0.04194260485651214,19.0,434.0,0.6247240618101545,283.0,170.0,0.08388520971302428,38.0,415.0
480291709003,252.0,0.7857142857142857,198.0,54.0,0.7857142857142857,198.0,54.0,0.5,126.0,126.0,0.1111111111111111,28.0,224.0,0.0,0.0,252.0,0.2619047619047619,66.0,186.0,0.10714285714285714,27.0,225.0
480291610002,533.0,0.801125703564728,427.0,106.0,0.7485928705440901,399.0,134.0,0.2945590994371482,157.0,376.0,0.28142589118198874,150.0,383.0,0.0600375234521576,32.0,501.0,0.4446529080675422,237.0,296.0,0.04878048780487805,26.0,507.0
480291610001,628.0,0.6640127388535032,417.0,211.0,0.6528662420382165,410.0,218.0,0.46656050955414013,293.0,335.0,0.1910828025477707,120.0,508.0,0.009554140127388535,6.0,622.0,0.39331210191082805,247.0,381.0,0.20063694267515925,126.0,502.0
480291615015,537.0,0.8063314711359404,433.0,104.0,0.7802607076350093,419.0,118.0,0.16201117318435754,87.0,450.0,0.08193668528864059,44.0,493.0,0.020484171322160148,11.0,526.0,0.1973929236499069,106.0,431.0,0.11173184357541899,60.0,477.0
480291615011,1101.0,0.8628519527702089,950.0,151.0,0.8510445049954587,937.0,164.0,0.25703905540417804,283.0,818.0,0.07447774750227067,82.0,1019.0,0.014532243415077202,16.0,1085.0,0.3042688465031789,335.0,766.0,0.20799273387829245,229.0,872.0
480291615013,387.0,0.8165374677002584,316.0,71.0,0.8165374677002584,316.0,71.0,0.32558139534883723,126.0,261.0,0.21705426356589147,84.0,303.0,0.0,0.0,387.0,0.31266149870801035,121.0,266.0,0.25064599483204136,97.0,290.0
480291711001,556.0,0.7230215827338129,402.0,154.0,0.6169064748201439,343.0,213.0,0.29856115107913667,166.0,390.0,0.14568345323741008,81.0,475.0,0.017985611510791366,10.0,546.0,0.3471223021582734,193.0,363.0,0.1420863309352518,79.0,477.0
